[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/admin/vendor/font-awesome/webfonts/fa-regular-400.woff2" [Client 192.168.65.1] [Length 25472] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:41 +0000] - 401 401 - GET http pihole.local "/api/auth" [Client 192.168.65.1] [Length 123] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:41 +0000] - 200 200 - GET http pihole.local "/api/info/login" [Client 192.168.65.1] [Length 59] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:42 +0000] - 200 200 - GET http pihole.local "/admin/img/favicons/favicon-16x16.png" [Client 192.168.65.1] [Length 474] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:42 +0000] - 200 200 - GET http pihole.local "/admin/img/favicons/favicon-32x32.png" [Client 192.168.65.1] [Length 936] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:42 +0000] - 200 200 - GET http pihole.local "/admin/img/favicons/favicon.ico" [Client 192.168.65.1] [Length 15086] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:42 +0000] - 200 200 - GET http pihole.local "/admin/img/favicons/safari-pinned-tab.svg" [Client 192.168.65.1] [Length 972] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)" "http://pihole.local/admin/img/favicons/safari-pinned-tab.svg"
[10/Jul/2026:12:18:52 +0000] - 401 401 - POST http pihole.local "/api/auth" [Client 192.168.65.1] [Length 121] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:18:57 +0000] - 401 401 - POST http pihole.local "/api/auth" [Client 192.168.65.1] [Length 123] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
[10/Jul/2026:12:19:01 +0000] - 401 401 - POST http pihole.local "/api/auth" [Client 192.168.65.1] [Length 123] [Gzip -] [Sent-to local-dns-pihole] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Safari/605.1.15" "http://pihole.local/admin/login"
